Accession,ADS,Peaks,Treatment,Response
PI 638857,252,2.61,H2O,Unresponsive
PI 638857,252,3.62,H2O,Unresponsive
PI 638857,252,1.76,In11,Unresponsive
PI 638857,252,2.68,In11,Unresponsive
PI 638858,255,3.51,H2O,Unresponsive
PI 638858,255,1.63,H2O,Unresponsive
PI 638858,255,1.38,H2O,Unresponsive
PI 638858,255,2.05,In11,Unresponsive
PI 638858,255,2.28,In11,Unresponsive
PI 638858,255,2.04,In11,Unresponsive
PI 640965,247,34.63,H2O,Unresponsive
PI 640965,247,25.71,H2O,Unresponsive
PI 640965,247,14.17,H2O,Unresponsive
PI 640965,247,52.89,In11,Unresponsive
PI 640965,247,35.26,In11,Unresponsive
PI 640965,247,19.67,In11,Unresponsive
PI 661803,253,5.34,H2O,Unresponsive
PI 661803,253,6.37,H2O,Unresponsive
PI 661803,253,4.63,H2O,Unresponsive
PI 661803,253,4.22,In11,Unresponsive
PI 661803,253,6.78,In11,Unresponsive
PI 661803,253,4.67,In11,Unresponsive
W6 17019,263,2.04,H2O,Unresponsive
W6 17019,263,0.93,H2O,Unresponsive
W6 17019,263,1.05,H2O,Unresponsive
W6 17019,263,2.1,In11,Unresponsive
W6 17019,263,1.61,In11,Unresponsive
W6 17019,263,1.55,In11,Unresponsive
W6 17020,254,2.14,H2O,Unresponsive
W6 17020,254,1.92,H2O,Unresponsive
W6 17020,254,1.96,H2O,Unresponsive
W6 17020,254,1.6,In11,Unresponsive
W6 17020,254,1.34,In11,Unresponsive
W6 17020,254,1.98,In11,Unresponsive
W6 17028,268,2.2,H2O,Unresponsive
W6 17028,268,6.75,H2O,Unresponsive
W6 17028,268,2.9,H2O,Unresponsive
W6 17028,268,5.66,In11,Unresponsive
W6 17028,268,5.83,In11,Unresponsive
W6 17028,268,10.54,In11,Unresponsive
W6 17491,88,8.91,H2O,Unresponsive
W6 17491,88,4.31,H2O,Unresponsive
W6 17491,88,7.48,H2O,Unresponsive
W6 17491,88,5.98,In11,Unresponsive
W6 17491,88,3.46,In11,Unresponsive
W6 17491,88,5.98,In11,Unresponsive
PI 638852,249,4.13,H2O,Responsive
PI 638852,249,2.26,H2O,Responsive
PI 638852,249,4.06,H2O,Responsive
PI 638852,249,29.71,In11,Responsive
PI 638852,249,15.33,In11,Responsive
PI 638852,249,24.55,In11,Responsive
PI 638856,260,2.26,H2O,Responsive
PI 638856,260,1.94,H2O,Responsive
PI 638856,260,11.2,In11,Responsive
PI 638856,260,14.17,In11,Responsive
PI 638859,265,1.86,H2O,Responsive
PI 638859,265,4.56,H2O,Responsive
PI 638859,265,2.41,H2O,Responsive
PI 638859,265,10.04,In11,Responsive
PI 638859,265,31.83,In11,Responsive
PI 638859,265,56.19,In11,Responsive
PI 638860,267,2.61,H2O,Responsive
PI 638860,267,4.43,H2O,Responsive
PI 638860,267,9.31,In11,Responsive
PI 638860,267,17.53,In11,Responsive
PI 638861,257,4.06,H2O,Responsive
PI 638861,257,3.86,H2O,Responsive
PI 638861,257,1.79,H2O,Responsive
PI 638861,257,15.38,In11,Responsive
PI 638861,257,20.93,In11,Responsive
PI 638861,257,15.1,In11,Responsive
PI 638862,269,2.16,H2O,Responsive
PI 638862,269,4.6,H2O,Responsive
PI 638862,269,4.77,H2O,Responsive
PI 638862,269,7.07,In11,Responsive
PI 638862,269,16.11,In11,Responsive
PI 638862,269,10.22,In11,Responsive
PI 638863,259,2.54,H2O,Responsive
PI 638863,259,3.21,H2O,Responsive
PI 638863,259,3.83,H2O,Responsive
PI 638863,259,16.79,In11,Responsive
PI 638863,259,17.98,In11,Responsive
PI 638863,259,12.21,In11,Responsive
PI 638864,248,6.43,H2O,Responsive
PI 638864,248,6,H2O,Responsive
PI 638864,248,26.83,In11,Responsive
PI 638864,248,13.3,In11,Responsive
PI 661804,258,4.41,H2O,Responsive
PI 661804,258,4.9,H2O,Responsive
PI 661804,258,3.81,H2O,Responsive
PI 661804,258,13.06,In11,Responsive
PI 661804,258,8.26,In11,Responsive
PI 661804,258,13.93,In11,Responsive
W6 17017,262,4.33,H2O,Responsive
W6 17017,262,3.76,H2O,Responsive
W6 17017,262,4.87,H2O,Responsive
W6 17017,262,9.79,In11,Responsive
W6 17017,262,14.17,In11,Responsive
W6 17017,262,12.31,In11,Responsive
W6 17021,264,2.54,H2O,Responsive
W6 17021,264,3.93,H2O,Responsive
W6 17021,264,17.68,In11,Responsive
W6 17021,264,14.63,In11,Responsive
W6 17024,256,3.67,H2O,Responsive
W6 17024,256,4.24,H2O,Responsive
W6 17024,256,5.85,H2O,Responsive
W6 17024,256,17.12,In11,Responsive
W6 17024,256,17.75,In11,Responsive
W6 17024,256,21.14,In11,Responsive
W6 17025,266,1.08,H2O,Responsive
W6 17025,266,2.72,H2O,Responsive
W6 17025,266,2.19,H2O,Responsive
W6 17025,266,5.52,In11,Responsive
W6 17025,266,14.99,In11,Responsive
W6 17025,266,12.54,In11,Responsive