,Caterpillar,Genotype,Allele,day,mg,Treatment
1,1,CR4,G19833,Initial,1.24,Untreated
2,1,CR4,G19833,Mass_3,19.86,Untreated
3,1,CR4,G19833,Mass_5,41.5,Untreated
4,1,CR4,G19833,Final,59.76,Untreated
5,2,CR4,G19833,Initial,1.29,Untreated
6,2,CR4,G19833,Mass_3,3.98,Untreated
7,2,CR4,G19833,Mass_5,9.6,Untreated
8,2,CR4,G19833,Final,22.11,Untreated
9,5,CR4,G19833,Initial,1.52,Untreated
10,5,CR4,G19833,Mass_3,21.7,Untreated
11,5,CR4,G19833,Mass_5,36.77,Untreated
12,5,CR4,G19833,Final,58.9,Untreated
13,12,CR4,G19833,Initial,1.54,Untreated
14,12,CR4,G19833,Mass_3,8.11,Untreated
15,12,CR4,G19833,Mass_5,19.36,Untreated
16,12,CR4,G19833,Final,8.3,Untreated
17,16,CR4,G19833,Initial,1.54,Untreated
18,16,CR4,G19833,Mass_3,3.97,Untreated
19,16,CR4,G19833,Mass_5,12.21,Untreated
20,16,CR4,G19833,Final,6.4,Untreated
21,18,CR4,G19833,Initial,1.3,Untreated
22,18,CR4,G19833,Mass_3,12.88,Untreated
23,18,CR4,G19833,Mass_5,25.05,Untreated
24,18,CR4,G19833,Final,10.57,Untreated
25,19,CR4,G19833,Initial,1.52,Untreated
26,19,CR4,G19833,Mass_3,6.05,Untreated
27,19,CR4,G19833,Mass_5,8.08,Untreated
28,19,CR4,G19833,Final,12.12,Untreated
29,23,CR4,G19833,Initial,1.27,Untreated
30,23,CR4,G19833,Mass_3,8.88,Untreated
31,23,CR4,G19833,Mass_5,18.54,Untreated
32,23,CR4,G19833,Final,30.23,Untreated
33,27,CR4,G19833,Initial,1.27,Untreated
34,27,CR4,G19833,Mass_3,5.12,Untreated
35,27,CR4,G19833,Mass_5,8.53,Untreated
36,27,CR4,G19833,Final,7.49,Untreated
37,32,CR4,G19833,Initial,1.55,Untreated
38,32,CR4,G19833,Mass_3,6.2,Untreated
39,32,CR4,G19833,Mass_5,17.66,Untreated
40,32,CR4,G19833,Final,27.72,Untreated
41,34,CR4,G19833,Initial,1.39,Untreated
42,34,CR4,G19833,Mass_3,7.44,Untreated
43,34,CR4,G19833,Mass_5,10.33,Untreated
44,34,CR4,G19833,Final,4.99,Untreated
45,44,CR4,G19833,Initial,1.37,Untreated
46,44,CR4,G19833,Mass_3,3.71,Untreated
47,44,CR4,G19833,Mass_5,3.72,Untreated
48,44,CR4,G19833,Final,12.76,Untreated
49,50,CR4,G19833,Initial,1.11,Untreated
50,50,CR4,G19833,Mass_3,7.01,Untreated
51,50,CR4,G19833,Mass_5,20.05,Untreated
52,50,CR4,G19833,Final,23.19,Untreated
53,52,CR4,G19833,Initial,1.13,Untreated
54,52,CR4,G19833,Mass_3,3.27,Untreated
55,52,CR4,G19833,Mass_5,8.89,Untreated
56,52,CR4,G19833,Final,26.69,Untreated
57,101,CR5,PI_638858,Initial,1.32,Untreated
58,101,CR5,PI_638858,Mass_3,3.96,Untreated
59,101,CR5,PI_638858,Mass_5,11.09,Untreated
60,101,CR5,PI_638858,Final,6.98,Untreated
61,102,CR5,PI_638858,Initial,1.36,Untreated
62,102,CR5,PI_638858,Mass_3,10.46,Untreated
63,102,CR5,PI_638858,Mass_5,12.21,Untreated
64,102,CR5,PI_638858,Final,16.63,Untreated
65,106,CR5,PI_638858,Initial,1.05,Untreated
66,106,CR5,PI_638858,Mass_3,6.86,Untreated
67,106,CR5,PI_638858,Mass_5,11.47,Untreated
68,106,CR5,PI_638858,Final,37.42,Untreated
69,108,CR5,PI_638858,Initial,1.53,Untreated
70,108,CR5,PI_638858,Mass_3,13.83,Untreated
71,108,CR5,PI_638858,Mass_5,21.24,Untreated
72,108,CR5,PI_638858,Final,15.26,Untreated
73,111,CR5,PI_638858,Initial,1.48,Untreated
74,111,CR5,PI_638858,Mass_3,15.53,Untreated
75,111,CR5,PI_638858,Mass_5,23.76,Untreated
76,111,CR5,PI_638858,Final,66.75,Untreated
77,112,CR5,PI_638858,Initial,1.39,Untreated
78,112,CR5,PI_638858,Mass_3,12.76,Untreated
79,112,CR5,PI_638858,Mass_5,35.83,Untreated
80,112,CR5,PI_638858,Final,16.56,Untreated
81,113,CR5,PI_638858,Initial,1.6,Untreated
82,113,CR5,PI_638858,Mass_3,8.04,Untreated
83,113,CR5,PI_638858,Mass_5,17.5,Untreated
84,113,CR5,PI_638858,Final,59.71,Untreated
85,115,CR5,PI_638858,Initial,1.51,Untreated
86,115,CR5,PI_638858,Mass_3,8.52,Untreated
87,115,CR5,PI_638858,Mass_5,20.09,Untreated
88,115,CR5,PI_638858,Final,25.49,Untreated
89,116,CR5,PI_638858,Initial,1.07,Untreated
90,116,CR5,PI_638858,Mass_3,6.71,Untreated
91,116,CR5,PI_638858,Mass_5,15.52,Untreated
92,116,CR5,PI_638858,Final,40.72,Untreated
93,119,CR5,PI_638858,Initial,1.13,Untreated
94,119,CR5,PI_638858,Mass_3,5.83,Untreated
95,119,CR5,PI_638858,Mass_5,11.17,Untreated
96,119,CR5,PI_638858,Final,25.05,Untreated
97,120,CR5,PI_638858,Initial,1.4,Untreated
98,120,CR5,PI_638858,Mass_3,13.58,Untreated
99,120,CR5,PI_638858,Mass_5,22.7,Untreated
100,120,CR5,PI_638858,Final,25.09,Untreated
101,124,CR5,PI_638858,Initial,1.34,Untreated
102,124,CR5,PI_638858,Mass_3,10.22,Untreated
103,124,CR5,PI_638858,Mass_5,10.24,Untreated
104,124,CR5,PI_638858,Final,11.97,Untreated
105,126,CR5,PI_638858,Initial,1.09,Untreated
106,126,CR5,PI_638858,Mass_3,7.65,Untreated
107,126,CR5,PI_638858,Mass_5,23.92,Untreated
108,126,CR5,PI_638858,Final,23.53,Untreated
109,128,CR5,PI_638858,Initial,1.4,Untreated
110,128,CR5,PI_638858,Mass_3,7.87,Untreated
111,128,CR5,PI_638858,Mass_5,20.65,Untreated
112,128,CR5,PI_638858,Final,10.75,Untreated
113,132,CR5,PI_638858,Initial,1.34,Untreated
114,132,CR5,PI_638858,Mass_3,7.78,Untreated
115,132,CR5,PI_638858,Mass_5,7.71,Untreated
116,132,CR5,PI_638858,Final,7.17,Untreated
117,134,CR5,PI_638858,Initial,1.13,Untreated
118,134,CR5,PI_638858,Mass_3,18.34,Untreated
119,134,CR5,PI_638858,Mass_5,37.17,Untreated
120,134,CR5,PI_638858,Final,34.2,Untreated
121,141,CR5,PI_638858,Initial,1.03,Untreated
122,141,CR5,PI_638858,Mass_3,10.04,Untreated
123,141,CR5,PI_638858,Mass_5,19.35,Untreated
124,141,CR5,PI_638858,Final,30.5,Untreated
125,142,CR5,PI_638858,Initial,1.23,Untreated
126,142,CR5,PI_638858,Mass_3,2.51,Untreated
127,142,CR5,PI_638858,Mass_5,12.56,Untreated
128,142,CR5,PI_638858,Final,15.4,Untreated
129,147,CR5,PI_638858,Initial,1.28,Untreated
130,147,CR5,PI_638858,Mass_3,8.26,Untreated
131,147,CR5,PI_638858,Mass_5,20.65,Untreated
132,147,CR5,PI_638858,Final,26.9,Untreated
133,150,CR5,PI_638858,Initial,1.34,Untreated
134,150,CR5,PI_638858,Mass_3,5.61,Untreated
135,150,CR5,PI_638858,Mass_5,9.94,Untreated
136,150,CR5,PI_638858,Final,8.26,Untreated
137,4,CR4,G19833,Initial,1.07,Treated
138,4,CR4,G19833,Final,36.24,Treated
139,5,CR4,G19833,Initial,1.14,Treated
140,5,CR4,G19833,Final,9.98,Treated
141,7,CR4,G19833,Initial,1.35,Treated
142,7,CR4,G19833,Final,7.71,Treated
143,9,CR4,G19833,Initial,1.59,Treated
144,9,CR4,G19833,Final,12.47,Treated
145,18,CR4,G19833,Initial,1.34,Treated
146,18,CR4,G19833,Final,19.57,Treated
147,19,CR4,G19833,Initial,1.12,Treated
148,19,CR4,G19833,Final,28.48,Treated
149,21,CR4,G19833,Initial,1.6,Treated
150,21,CR4,G19833,Final,17.52,Treated
151,23,CR4,G19833,Initial,1,Treated
152,23,CR4,G19833,Final,28.77,Treated
153,24,CR4,G19833,Initial,1.27,Treated
154,24,CR4,G19833,Final,11.95,Treated
155,25,CR4,G19833,Initial,1,Treated
156,25,CR4,G19833,Final,9.41,Treated
157,26,CR4,G19833,Initial,1.57,Treated
158,26,CR4,G19833,Final,15.39,Treated
159,27,CR4,G19833,Initial,1.07,Treated
160,27,CR4,G19833,Final,38.39,Treated
161,29,CR4,G19833,Initial,1,Treated
162,29,CR4,G19833,Final,8.51,Treated
163,30,CR4,G19833,Initial,1.15,Treated
164,30,CR4,G19833,Final,12.04,Treated
165,32,CR4,G19833,Initial,0.99,Treated
166,32,CR4,G19833,Final,7.15,Treated
167,33,CR4,G19833,Initial,1.18,Treated
168,33,CR4,G19833,Final,14.92,Treated
169,34,CR4,G19833,Initial,1.01,Treated
170,34,CR4,G19833,Final,15.72,Treated
171,35,CR4,G19833,Initial,1.04,Treated
172,35,CR4,G19833,Final,23.03,Treated
173,37,CR4,G19833,Initial,1.89,Treated
174,37,CR4,G19833,Final,22.86,Treated
175,38,CR4,G19833,Initial,1.01,Treated
176,38,CR4,G19833,Final,11.05,Treated
177,39,CR4,G19833,Initial,0.89,Treated
178,39,CR4,G19833,Final,3.83,Treated
179,42,CR4,G19833,Initial,0.8,Treated
180,42,CR4,G19833,Final,19.41,Treated
181,46,CR4,G19833,Initial,0.79,Treated
182,46,CR4,G19833,Final,10.62,Treated
183,48,CR4,G19833,Initial,0.78,Treated
184,48,CR4,G19833,Final,8.49,Treated
185,49,CR4,G19833,Initial,0.87,Treated
186,49,CR4,G19833,Final,4.14,Treated
187,103,CR5,PI_638858,Initial,1,Treated
188,103,CR5,PI_638858,Final,17.13,Treated
189,118,CR5,PI_638858,Initial,1.37,Treated
190,118,CR5,PI_638858,Final,5.67,Treated
191,120,CR5,PI_638858,Initial,1.08,Treated
192,120,CR5,PI_638858,Final,15.31,Treated
193,121,CR5,PI_638858,Initial,1.03,Treated
194,121,CR5,PI_638858,Final,28.79,Treated
195,122,CR5,PI_638858,Initial,1.21,Treated
196,122,CR5,PI_638858,Final,13.17,Treated
197,124,CR5,PI_638858,Initial,1.07,Treated
198,124,CR5,PI_638858,Final,23.74,Treated
199,125,CR5,PI_638858,Initial,1.35,Treated
200,125,CR5,PI_638858,Final,2.55,Treated
201,126,CR5,PI_638858,Initial,1.57,Treated
202,126,CR5,PI_638858,Final,0.66,Treated
203,129,CR5,PI_638858,Initial,1.23,Treated
204,129,CR5,PI_638858,Final,9.15,Treated
205,134,CR5,PI_638858,Initial,1.79,Treated
206,134,CR5,PI_638858,Final,25.41,Treated
207,138,CR5,PI_638858,Initial,0.77,Treated
208,138,CR5,PI_638858,Final,15.38,Treated
209,139,CR5,PI_638858,Initial,0.8,Treated
210,139,CR5,PI_638858,Final,6.79,Treated
211,144,CR5,PI_638858,Initial,0.75,Treated
212,144,CR5,PI_638858,Final,1.64,Treated